         #Time  Core     P_PKG     P_PP0    P_DRAM
 1458803876.99     0     26.94     14.67     10.82
 1458803877.19     0     28.07     15.88     10.38
 1458803877.39     0     27.21     14.95     10.61
 1458803877.59     0     27.16     14.95     10.64
 1458803877.79     0     26.81     14.55     10.77
 1458803877.99     0     19.44      7.24     10.62
 1458803878.19     0     25.57     13.27     10.98
 1458803878.39     0     28.08     15.89     10.36
 1458803878.59     0     28.07     15.82     10.29
 1458803878.79     0     27.83     15.64      9.98
 1458803878.99     0     28.00     15.75     10.26
 1458803879.19     0     27.87     15.68     10.17
 1458803879.39     0     27.98     15.73     10.32
 1458803879.59     0     21.17      8.92     10.48
 1458803879.79     0     14.98      2.79     10.60
 1458803879.99     0     14.95      2.75     10.57
 1458803880.19     0     15.05      2.83     10.62
 1458803880.39     0     15.15      2.89     10.61
 1458803880.59     0     14.98      2.80     10.63
 1458803880.79     0     14.98      2.74     10.74
 1458803880.99     0     15.02      2.81     10.65
 1458803881.19     0     15.18      2.91     10.61
 1458803881.39     0     14.91      2.74     10.63
