         #Time  Core     P_PKG     P_PP0    P_DRAM
 1458803398.07     0     49.49     37.11     11.43
 1458803398.27     0     53.97     41.05     16.22
 1458803398.47     0     52.16     38.94     19.43
 1458803398.67     0     50.03     37.59     12.24
 1458803398.87     0     38.69     26.34     11.41
 1458803399.07     0     21.87      9.61     10.54
 1458803399.27     0     25.45     13.23     10.72
 1458803399.47     0     27.38     15.10     10.71
 1458803399.67     0     27.93     15.74     10.21
 1458803399.87     0     30.14     17.86     10.65
 1458803400.07     0     29.87     17.65     10.64
 1458803400.27     0     29.78     17.50     10.72
 1458803400.47     0     30.37     18.14     10.83
 1458803400.67     0     31.20     18.95     10.52
 1458803400.87     0     28.69     16.50     10.40
 1458803401.07     0     28.67     16.41     10.35
 1458803401.27     0     30.99     18.76     10.79
 1458803401.47     0     31.09     18.83     10.62
 1458803401.67     0     31.04     18.79     10.46
 1458803401.87     0     31.71     19.48     10.76
 1458803402.07     0     30.65     18.37     10.72
 1458803402.27     0     31.19     18.96     10.77
 1458803402.47     0     31.00     18.69     10.88
 1458803402.67     0     30.50     18.23     10.91
 1458803402.87     0     34.69     22.38     11.08
 1458803403.07     0     34.25     22.02     10.82
 1458803403.27     0     34.23     21.94     10.90
 1458803403.47     0     34.04     21.81     10.82
 1458803403.67     0     34.18     21.89     10.81
 1458803403.87     0     34.68     22.42     11.15
 1458803404.07     0     29.39     17.13     10.82
 1458803404.27     0     15.03      2.80     10.49
 1458803404.47     0     14.96      2.74     10.58
 1458803404.67     0     17.96      5.69     10.64
 1458803404.87     0     18.72      6.50     10.30
 1458803405.07     0     16.17      3.94     10.66
 1458803405.27     0     14.97      2.77     10.63
 1458803405.47     0     14.98      2.77     10.72
 1458803405.67     0     15.05      2.80     10.65
 1458803405.87     0     21.55      9.35     10.90
 1458803406.07     0     25.41     13.15     10.96
 1458803406.27     0     27.85     15.54     11.08
 1458803406.47     0     25.90     13.66     11.16
 1458803406.67     0     27.51     15.20     10.98
 1458803406.87     0     34.95     22.65     10.88
 1458803407.07     0     34.30     22.08     10.72
 1458803407.27     0     34.31     22.03     10.77
 1458803407.47     0     34.17     21.95     10.78
 1458803407.67     0     34.29     22.00     10.77
 1458803407.87     0     33.99     21.76     10.97
