         #Time  Core     P_PKG     P_PP0    P_DRAM
 1458803296.41     0     44.98     32.60     11.45
 1458803296.61     0     54.12     41.58     13.49
 1458803296.82     0     51.42     37.92     21.47
 1458803297.02     0     48.76     36.23     12.65
 1458803297.22     0     42.34     30.03     11.34
 1458803297.42     0     31.46     19.15     10.90
 1458803297.62     0     21.16      8.96     10.81
 1458803297.82     0     21.70      9.42     10.64
 1458803298.02     0     18.47      6.29     10.28
 1458803298.22     0     18.50      6.25     10.20
 1458803298.42     0     24.13     11.92     10.33
 1458803298.62     0     23.95     11.69     11.01
 1458803298.82     0     26.12     13.90     10.97
 1458803299.02     0     27.45     15.14     11.08
 1458803299.22     0     34.27     22.14     10.85
 1458803299.42     0     34.32     21.92     10.88
 1458803299.62     0     35.09     22.78     10.94
 1458803299.82     0     35.58     23.32     11.00
 1458803300.02     0     35.08     22.78     10.89
 1458803300.22     0     33.82     21.58     10.99
 1458803300.42     0     34.26     21.93     11.17
 1458803300.62     0     23.15     10.93     10.95
 1458803300.82     0     26.06     13.78     11.12
 1458803301.02     0     26.36     14.13     10.92
 1458803301.22     0     31.38     19.10     10.80
 1458803301.42     0     31.17     18.91     10.65
 1458803301.62     0     32.40     20.17     10.77
 1458803301.82     0     33.96     21.65     11.04
 1458803302.02     0     34.24     22.02     10.86
 1458803302.22     0     34.21     21.92     10.72
 1458803302.42     0     33.96     21.70     11.09
 1458803302.62     0     29.39     17.12     10.38
 1458803302.82     0     28.60     16.35     10.21
 1458803303.02     0     27.81     15.62     10.36
 1458803303.22     0     22.06      9.81     10.37
 1458803303.42     0     14.90      2.73     10.64
 1458803303.62     0     23.85     11.61     10.29
 1458803303.82     0     25.71     13.47     10.25
 1458803304.02     0     25.65     13.46     10.15
 1458803304.22     0     25.74     13.49     10.25
 1458803304.42     0     28.84     16.60     10.75
 1458803304.62     0     22.85     10.60     10.82
 1458803304.82     0     26.30     14.08     10.78
 1458803305.02     0     29.85     17.58     10.81
 1458803305.22     0     31.89     19.61     10.85
 1458803305.42     0     31.07     18.88     10.50
 1458803305.62     0     31.15     18.90     10.50
 1458803305.82     0     30.94     18.75     10.40
 1458803306.02     0     31.07     18.82     10.56
 1458803306.22     0     30.30     18.04     10.64
