         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459095486.76     0     52.47     40.28     10.30
 1459095486.96     0     53.71     41.46     10.13
 1459095487.16     0     53.27     41.08     10.17
 1459095487.36     0     53.45     41.19     10.32
 1459095487.56     0     53.19     40.99     10.22
 1459095487.76     0     53.42     41.16     10.27
 1459095487.96     0     53.18     40.97     10.17
 1459095488.16     0     53.42     41.16     10.23
 1459095488.36     0     53.17     40.97     10.22
 1459095488.56     0     53.42     41.16     10.22
 1459095488.76     0     53.19     40.98     10.18
 1459095488.96     0     53.47     41.20     10.24
 1459095489.16     0     53.19     40.99     10.19
 1459095489.36     0     53.45     41.18     10.29
 1459095489.56     0     33.79     21.59     10.38
 1459095489.76     0     18.41      6.16     10.20
 1459095489.96     0     18.44      6.19     10.25
 1459095490.16     0     18.39      6.20     10.20
 1459095490.36     0     18.48      6.22     10.30
 1459095490.56     0     18.44      6.23     10.25
 1459095490.76     0     18.50      6.24     10.30
