         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459095482.42     0     53.62     41.38     10.19
 1459095482.62     0     53.44     41.24     10.16
 1459095482.82     0     53.60     41.35     10.21
 1459095483.02     0     53.30     41.10     10.16
 1459095483.22     0     53.41     41.16     10.12
 1459095483.42     0     53.38     41.14     10.25
 1459095483.62     0     53.33     41.09     10.28
 1459095483.82     0     53.17     40.97     10.16
 1459095484.02     0     53.48     41.22     10.26
 1459095484.22     0     53.45     41.19     10.24
 1459095484.42     0     53.17     40.97     10.16
 1459095484.62     0     53.43     41.17     10.30
 1459095484.82     0     53.18     40.98     10.16
 1459095485.02     0     53.43     41.17     10.12
 1459095485.22     0     30.20     18.00     10.26
 1459095485.42     0     18.47      6.22     10.20
 1459095485.62     0     18.36      6.18     10.10
 1459095485.82     0     18.45      6.20     10.06
 1459095486.02     0     18.42      6.17     10.20
 1459095486.22     0     18.40      6.20     10.10
 1459095486.42     0     18.76      6.51     10.21
