         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459095456.39     0     52.61     40.42     10.26
 1459095456.59     0     53.73     41.47     10.24
 1459095456.79     0     53.48     41.28     10.28
 1459095456.99     0     53.77     41.50     10.24
 1459095457.19     0     53.51     41.31     10.09
 1459095457.39     0     53.75     41.48     10.24
 1459095457.59     0     53.46     41.24     10.14
 1459095457.79     0     53.77     41.50     10.24
 1459095457.99     0     53.55     41.34     10.19
 1459095458.19     0     53.80     41.52     10.34
 1459095458.39     0     53.50     41.29     10.14
 1459095458.59     0     53.82     41.54     10.29
 1459095458.79     0     53.59     41.38     10.19
 1459095458.99     0     53.85     41.58     10.29
 1459095459.19     0     33.78     21.58     10.27
 1459095459.39     0     18.91      6.65     10.27
 1459095459.59     0     18.47      6.21     10.20
 1459095459.79     0     18.39      6.19     10.25
 1459095459.99     0     18.42      6.17     10.25
 1459095460.19     0     18.47      6.27     10.25
 1459095460.39     0     19.22      6.97     10.28
