         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459095478.11     0     53.53     41.29     10.32
 1459095478.31     0     53.49     41.29     10.00
 1459095478.51     0     53.69     41.44     10.28
 1459095478.71     0     53.37     41.17     10.19
 1459095478.91     0     53.41     41.17     10.23
 1459095479.11     0     53.24     41.03     10.20
 1459095479.31     0     53.45     41.19     10.24
 1459095479.51     0     53.13     40.94     10.22
 1459095479.71     0     53.42     41.17     10.13
 1459095479.91     0     53.24     41.04     10.17
 1459095480.11     0     53.46     41.21     10.32
 1459095480.31     0     53.43     41.18     10.12
 1459095480.51     0     53.19     40.99     10.32
 1459095480.71     0     53.46     41.20     10.31
 1459095480.91     0     31.00     18.81     10.12
 1459095481.11     0     18.45      6.20     10.20
 1459095481.31     0     18.44      6.25     10.15
 1459095481.51     0     18.54      6.28     10.20
 1459095481.71     0     18.43      6.18     10.10
 1459095481.91     0     18.33      6.14     10.15
 1459095482.11     0     18.49      6.23     10.25
