         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459095447.66     0     53.63     41.41     10.30
 1459095447.86     0     53.71     41.45     10.27
 1459095448.06     0     53.45     41.25     10.13
 1459095448.26     0     53.72     41.46     10.22
 1459095448.46     0     53.45     41.25     10.17
 1459095448.66     0     53.72     41.45     10.26
 1459095448.86     0     53.45     41.24     10.21
 1459095449.06     0     53.73     41.46     10.31
 1459095449.26     0     53.46     41.25     10.26
 1459095449.46     0     53.74     41.47     10.16
 1459095449.66     0     53.74     41.47     10.12
 1459095449.86     0     53.48     41.26     10.26
 1459095450.06     0     53.73     41.46     10.26
 1459095450.26     0     53.44     41.23     10.16
 1459095450.46     0     31.75     19.48     10.18
 1459095450.66     0     18.43      6.24     10.24
 1459095450.87     0     18.43      6.18     10.25
 1459095451.07     0     18.50      6.25     10.25
 1459095451.27     0     18.39      6.21     10.15
 1459095451.47     0     18.44      6.20     10.29
 1459095451.67     0     18.37      6.18     10.20
