         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459095460.71     0     52.44     40.24     10.13
 1459095460.91     0     53.76     41.49     10.24
 1459095461.11     0     53.52     41.31     10.19
 1459095461.31     0     53.79     41.52     10.24
 1459095461.51     0     53.58     41.37     10.24
 1459095461.71     0     53.82     41.56     10.24
 1459095461.92     0     53.55     41.34     10.23
 1459095462.12     0     53.82     41.55     10.19
 1459095462.32     0     53.40     41.20     10.09
 1459095462.52     0     53.68     41.41     10.13
 1459095462.72     0     53.47     41.27     10.19
 1459095462.92     0     53.69     41.43     10.29
 1459095463.12     0     53.39     41.19     10.23
 1459095463.32     0     53.66     41.40     10.27
 1459095463.52     0     33.94     21.74     10.17
 1459095463.72     0     18.54      6.28     10.25
 1459095463.92     0     18.51      6.25     10.25
 1459095464.12     0     18.57      6.38     10.34
 1459095464.32     0     20.17      7.91     10.26
 1459095464.52     0     18.47      6.27     10.25
 1459095464.72     0     18.48      6.23     10.30
