         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459088230.54     0     18.59      6.34     10.26
 1459088230.74     0     18.43      6.24     10.25
 1459088230.94     0     18.47      6.22     10.35
 1459088231.14     0     18.45      6.26     10.25
 1459088231.34     0     18.42      6.18     10.25
 1459088231.54     0     18.47      6.22     10.25
 1459088231.74     0     18.38      6.19     10.15
 1459088231.94     0     18.47      6.22     10.20
 1459088232.14     0     18.39      6.20     10.25
 1459088232.34     0     18.42      6.18     10.25
 1459088232.54     0     18.48      6.23     10.25
 1459088232.74     0     18.37      6.19     10.25
 1459088232.94     0     18.92      6.67     10.22
 1459088233.14     0     18.54      6.35     10.30
 1459088233.34     0     18.49      6.24     10.16
 1459088233.54     0     18.46      6.22     10.25
 1459088233.74     0     18.33      6.14     10.10
