         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459088247.23     0     18.67      6.42     10.26
 1459088247.43     0     18.45      6.21     10.16
 1459088247.63     0     18.34      6.16     10.24
 1459088247.83     0     18.51      6.26     10.21
 1459088248.03     0     18.89      6.64     10.21
 1459088248.23     0     18.39      6.20     10.25
 1459088248.43     0     18.52      6.27     10.20
 1459088248.63     0     18.48      6.29     10.16
 1459088248.83     0     18.42      6.17     10.25
 1459088249.03     0     18.37      6.18     10.25
 1459088249.23     0     18.53      6.29     10.25
 1459088249.43     0     18.43      6.18     10.30
 1459088249.63     0     18.38      6.20     10.20
 1459088249.83     0     18.51      6.26     10.25
 1459088250.03     0     18.44      6.25     10.20
 1459088250.23     0     18.46      6.22     10.25
 1459088250.43     0     24.81     12.62     10.06
