         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459088234.08     0     27.52     15.27     10.26
 1459088234.28     0     27.34     15.15     10.25
 1459088234.48     0     27.47     15.22     10.25
 1459088234.68     0     27.36     15.17     10.15
 1459088234.88     0     27.49     15.24     10.21
 1459088235.08     0     27.36     15.16     10.15
 1459088235.28     0     27.51     15.26     10.25
 1459088235.48     0     27.47     15.22     10.15
 1459088235.68     0     27.35     15.16     10.25
 1459088235.88     0     27.47     15.22     10.25
 1459088236.08     0     27.53     15.34     10.16
 1459088236.28     0     27.50     15.24     10.16
