         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459088244.83     0     27.51     15.26     10.25
 1459088245.03     0     27.54     15.35     10.21
 1459088245.23     0     27.51     15.26     10.25
 1459088245.43     0     27.51     15.25     10.20
 1459088245.63     0     27.33     15.14     10.30
 1459088245.83     0     27.47     15.22     10.30
 1459088246.03     0     27.34     15.15     10.10
 1459088246.23     0     27.52     15.27     10.30
 1459088246.43     0     27.35     15.15     10.20
 1459088246.63     0     27.48     15.23     10.30
 1459088246.83     0     27.35     15.16     10.20
 1459088247.03     0     27.49     15.24     10.25
