         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459088242.42     0     27.52     15.27     10.25
 1459088242.62     0     27.36     15.17     10.25
 1459088242.82     0     27.47     15.22     10.30
 1459088243.02     0     27.36     15.17     10.20
 1459088243.22     0     27.54     15.28     10.25
 1459088243.42     0     27.35     15.16     10.06
 1459088243.62     0     27.47     15.21     10.16
 1459088243.82     0     27.37     15.17     10.06
 1459088244.02     0     27.49     15.24     10.20
 1459088244.22     0     27.50     15.25     10.25
 1459088244.42     0     27.34     15.14     10.25
 1459088244.62     0     27.51     15.26     10.16
