         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459088228.14     0     27.38     15.19     10.25
 1459088228.34     0     27.47     15.22     10.30
 1459088228.54     0     27.52     15.27     10.28
 1459088228.74     0     27.33     15.15     10.20
 1459088228.94     0     27.49     15.24     10.25
 1459088229.14     0     27.37     15.18     10.11
 1459088229.34     0     27.49     15.24     10.16
 1459088229.54     0     27.34     15.15     10.15
 1459088229.74     0     27.51     15.25     10.25
 1459088229.94     0     27.55     15.36     10.21
 1459088230.14     0     27.51     15.26     10.16
 1459088230.34     0     27.47     15.22     10.15
