         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459088225.73     0     27.35     15.17     10.25
 1459088225.93     0     27.47     15.22     10.20
 1459088226.13     0     27.49     15.24     10.07
 1459088226.33     0     27.33     15.14     10.20
 1459088226.53     0     27.49     15.24     10.30
 1459088226.73     0     27.40     15.21     10.15
 1459088226.93     0     27.65     15.40     10.26
 1459088227.13     0     27.36     15.17     10.15
 1459088227.33     0     27.47     15.22     10.20
 1459088227.53     0     27.34     15.15     10.20
 1459088227.73     0     27.48     15.23     10.25
 1459088227.93     0     27.33     15.22     10.05
