         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459091448.77     0     18.65      6.41     10.16
 1459091448.97     0     18.51      6.27     10.20
 1459091449.17     0     18.52      6.33     10.06
 1459091449.37     0     18.95      6.70     10.17
 1459091449.57     0     18.42      6.24     10.30
 1459091449.77     0     18.50      6.25     10.20
 1459091449.97     0     18.49      6.25     10.30
 1459091450.17     0     18.43      6.24     10.15
 1459091450.37     0     18.58      6.34     10.25
 1459091450.57     0     18.60      6.41     10.21
 1459091450.77     0     18.60      6.35     10.25
 1459091450.97     0     18.55      6.30     10.21
 1459091451.17     0     18.48      6.29     10.11
 1459091451.37     0     18.50      6.25     10.25
 1459091451.57     0     20.83      8.64     10.21
 1459091451.77     0     25.84     13.60     10.25
