         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459094806.69     0     27.80     15.55     10.26
 1459094806.89     0     27.59     15.41     10.16
 1459094807.09     0     27.93     15.68     10.30
 1459094807.29     0     27.62     15.43     10.25
 1459094807.49     0     28.76     16.51     10.21
 1459094807.69     0     28.36     16.17     10.25
 1459094807.89     0     27.73     15.47     10.16
 1459094808.09     0     27.67     15.48      9.82
 1459094808.30     0     27.73     15.48     10.20
 1459094808.50     0     27.57     15.38     10.15
 1459094808.70     0     27.71     15.46     10.06
 1459094808.90     0     27.78     15.53     10.15
 1459094809.10     0     27.59     15.40     10.25
 1459094809.30     0     28.45     16.20     10.06
