         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459094823.93     0     27.80     15.54     10.21
 1459094824.13     0     27.62     15.43     10.20
 1459094824.33     0     27.74     15.49     10.25
 1459094824.53     0     27.60     15.41     10.15
 1459094824.73     0     27.74     15.49     10.30
 1459094824.93     0     27.60     15.41     10.20
 1459094825.13     0     27.98     15.72     10.16
 1459094825.33     0     27.59     15.40     10.15
 1459094825.53     0     27.72     15.46     10.16
 1459094825.73     0     27.75     15.50     10.21
 1459094825.93     0     27.57     15.38     10.01
 1459094826.13     0     27.74     15.48     10.25
 1459094826.33     0     27.58     15.39     10.20
 1459094826.53     0     27.74     15.49     10.25
