         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459094809.57     0     18.59      6.34     10.21
 1459094809.77     0     18.35      6.16     10.20
 1459094809.97     0     18.45      6.21     10.30
 1459094810.17     0     18.84      6.65     10.26
 1459094810.37     0     18.46      6.21     10.15
 1459094810.57     0     18.48      6.29     10.25
 1459094810.77     0     18.47      6.22     10.15
 1459094810.97     0     18.45      6.20     10.25
 1459094811.17     0     18.43      6.24     10.06
 1459094811.37     0     18.47      6.23     10.16
 1459094811.57     0     18.35      6.17     10.20
 1459094811.77     0     18.46      6.22     10.29
 1459094811.97     0     18.47      6.22     10.15
 1459094812.17     0     18.40      6.21     10.25
 1459094812.37     0     18.46      6.22     10.30
 1459094812.57     0     18.37      6.19     10.29
 1459094812.77     0     18.45      6.20     10.15
 1459094812.97     0     18.48      6.23     10.25
 1459094813.17     0     18.99      6.81     10.26
 1459094813.37     0     18.47      6.22     10.20
 1459094813.57     0     18.40      6.21     10.01
