         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459094795.34     0     18.48      6.30     10.25
 1459094795.54     0     18.57      6.32     10.25
 1459094795.74     0     18.50      6.26     10.34
 1459094795.94     0     18.35      6.16     10.15
 1459094796.14     0     18.51      6.27     10.30
 1459094796.34     0     18.40      6.21     10.20
 1459094796.54     0     18.44      6.19     10.30
 1459094796.74     0     18.41      6.22     10.20
 1459094796.94     0     22.00      9.75     10.25
 1459094797.14     0     22.09      9.84     10.25
 1459094797.34     0     18.42      6.23     10.10
 1459094797.54     0     18.44      6.20     10.25
 1459094797.74     0     18.45      6.26     10.10
 1459094797.94     0     18.53      6.29     10.15
 1459094798.14     0     18.99      6.75     10.21
 1459094798.34     0     18.43      6.24     10.15
 1459094798.54     0     18.52      6.27     10.20
 1459094798.74     0     18.43      6.25     10.24
 1459094798.94     0     18.49      6.25     10.20
 1459094799.14     0     18.55      6.30     10.01
 1459094799.34     0     18.44      6.25     10.15
