         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459094821.06     0     27.78     15.52     10.11
 1459094821.26     0     27.60     15.41     10.16
 1459094821.46     0     27.92     15.67     10.26
 1459094821.66     0     27.62     15.43     10.25
 1459094821.86     0     27.72     15.47     10.25
 1459094822.06     0     28.21     16.02     10.16
 1459094822.26     0     27.94     15.69     10.21
 1459094822.46     0     27.61     15.42     10.25
 1459094822.66     0     27.75     15.50     10.25
 1459094822.86     0     27.59     15.40     10.25
 1459094823.06     0     27.77     15.52     10.21
 1459094823.26     0     27.62     15.43     10.06
 1459094823.46     0     27.72     15.47     10.01
 1459094823.66     0     27.61     15.41     10.15
