         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459094802.44     0     18.52      6.33     10.11
 1459094802.64     0     18.55      6.30     10.11
 1459094802.84     0     18.49      6.25     10.11
 1459094803.05     0     18.53      6.34     10.25
 1459094803.25     0     18.56      6.31     10.16
 1459094803.45     0     18.38      6.20     10.15
 1459094803.65     0     18.49      6.24     10.15
 1459094803.85     0     18.49      6.25     10.34
 1459094804.05     0     18.45      6.26     10.20
 1459094804.25     0     18.98      6.74     10.26
 1459094804.45     0     18.39      6.20     10.15
 1459094804.65     0     18.53      6.28     10.15
 1459094804.85     0     18.46      6.21     10.11
 1459094805.05     0     18.42      6.24     10.15
 1459094805.25     0     18.55      6.30     10.30
 1459094805.45     0     18.37      6.18     10.15
 1459094805.65     0     18.46      6.21     10.30
 1459094805.85     0     18.42      6.17     10.24
 1459094806.05     0     18.38      6.19     10.15
 1459094806.25     0     18.46      6.22     10.20
 1459094806.45     0     18.36      6.17     10.10
