         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459094791.07     0     18.67      6.42     10.21
 1459094791.27     0     18.56      6.32     10.16
 1459094791.47     0     18.42      6.23     10.20
 1459094791.67     0     18.50      6.25     10.20
 1459094791.87     0     18.38      6.19     10.15
 1459094792.07     0     18.99      6.74     10.34
 1459094792.28     0     18.50      6.25     10.25
 1459094792.48     0     18.89      6.70     10.12
 1459094792.68     0     18.45      6.21     10.25
 1459094792.88     0     18.41      6.22     10.11
 1459094793.08     0     18.61      6.36     10.21
 1459094793.28     0     18.61      6.36     10.16
 1459094793.48     0     18.39      6.20     10.10
 1459094793.68     0     18.45      6.20     10.25
 1459094793.88     0     18.37      6.19     10.24
 1459094794.08     0     18.57      6.32     10.20
 1459094794.28     0     18.51      6.27     10.20
 1459094794.48     0     18.40      6.21     10.15
 1459094794.68     0     18.57      6.33     10.30
 1459094794.88     0     18.42      6.23     10.20
 1459094795.08     0     18.95      6.70     10.35
