         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459094816.74     0     18.48      6.29     10.20
 1459094816.94     0     18.54      6.29     10.16
 1459094817.14     0     18.43      6.24     10.25
 1459094817.34     0     18.50      6.25     10.30
 1459094817.54     0     18.43      6.19     10.29
 1459094817.74     0     18.43      6.24     10.20
 1459094817.94     0     18.48      6.23     10.25
 1459094818.14     0     18.40      6.21     10.25
 1459094818.34     0     18.51      6.27     10.20
 1459094818.54     0     18.58      6.33     10.21
 1459094818.74     0     18.41      6.23     10.20
 1459094818.94     0     18.44      6.19     10.30
 1459094819.14     0     18.93      6.74     10.25
 1459094819.34     0     18.44      6.19     10.20
 1459094819.54     0     18.50      6.25     10.20
 1459094819.74     0     18.46      6.27     10.29
 1459094819.94     0     18.57      6.33     10.30
 1459094820.14     0     18.40      6.21     10.20
 1459094820.34     0     18.45      6.21     10.30
 1459094820.54     0     18.48      6.24     10.25
 1459094820.74     0     18.43      6.24      9.96
