         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459091427.63     0     25.89     13.64     10.16
 1459091427.83     0     25.70     13.51     10.20
 1459091428.03     0     25.86     13.61     10.11
 1459091428.23     0     18.51      6.27     10.15
 1459091428.43     0     18.89      6.70     10.17
 1459091428.63     0     18.50      6.25     10.20
 1459091428.83     0     18.87      6.68     10.21
 1459091429.03     0     18.52      6.27     10.30
 1459091429.23     0     18.48      6.29     10.16
 1459091429.43     0     18.55      6.30     10.06
 1459091429.63     0     18.49      6.25     10.30
 1459091429.83     0     18.38      6.20     10.20
 1459091430.03     0     18.52      6.27     10.20
 1459091430.23     0     18.53      6.29     10.20
 1459091430.43     0     18.42      6.24     10.20
 1459091430.63     0     18.67      6.42     10.30
 1459091430.83     0     18.38      6.20     10.29
 1459091431.04     0     18.54      6.29     10.30
 1459091431.24     0     18.57      6.33     10.11
 1459091431.44     0     18.91      6.72     10.27
 1459091431.64     0     18.53      6.29     10.20
 1459091431.84     0     18.38      6.19     10.25
 1459091432.04     0     18.51      6.26     10.25
 1459091432.24     0     18.42      6.23     10.15
 1459091432.44     0     18.60      6.36     10.16
 1459091432.64     0     18.56      6.31     10.21
 1459091432.84     0     18.39      6.20     10.15
 1459091433.04     0     18.62      6.38     10.21
 1459091433.24     0     18.56      6.31     10.21
 1459091433.44     0     18.42      6.23     10.15
 1459091433.64     0     18.48      6.23     10.20
 1459091433.84     0     18.39      6.21     10.25
 1459091434.04     0     18.52      6.27     10.16
 1459091434.24     0     18.56      6.32     10.16
 1459091434.44     0     19.00      6.81     10.30
 1459091434.64     0     18.63      6.38     10.21
 1459091434.84     0     18.44      6.25     10.20
 1459091435.04     0     18.52      6.27     10.25
 1459091435.24     0     18.46      6.27     10.11
 1459091435.44     0     18.58      6.34     10.26
 1459091435.64     0     18.55      6.30     10.25
 1459091435.84     0     18.40      6.21     10.25
 1459091436.04     0     18.48      6.23     10.30
 1459091436.24     0     18.53      6.34     10.25
 1459091436.44     0     18.52      6.27     10.20
 1459091436.64     0     18.51      6.26     10.30
 1459091436.84     0     18.38      6.20     10.20
 1459091437.04     0     18.52      6.27     10.25
 1459091437.24     0     18.43      6.25     10.24
