         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459083313.93     0     27.93     15.68     10.31
 1459083314.13     0     27.87     15.63     10.15
 1459083314.33     0     27.88     15.69     10.31
 1459083314.53     0     27.84     15.59     10.25
 1459083314.73     0     27.94     15.75     10.12
 1459083314.93     0     27.84     15.59     10.25
 1459083315.13     0     28.02     15.77     10.26
 1459083315.33     0     28.59     16.40     10.17
 1459083315.53     0     28.64     16.39     10.20
 1459083315.73     0     28.50     16.31     10.24
 1459083315.93     0     28.63     16.39     10.20
 1459083316.13     0     27.81     15.63     10.11
 1459083316.33     0     27.90     15.65     10.16
 1459083316.53     0     27.81     15.57     10.25
 1459083316.73     0     27.64     15.46     10.20
 1459083316.93     0     27.80     15.55     10.20
 1459083317.13     0     27.75     15.56     10.25
 1459083317.33     0     27.83     15.59     10.11
 1459083317.53     0     27.88     15.70     10.20
 1459083317.73     0     27.83     15.58     10.25
 1459083317.93     0     27.84     15.59     10.20
 1459083318.13     0     27.85     15.66     10.11
 1459083318.33     0     28.77     16.52     10.31
 1459083318.53     0     28.67     16.48     10.07
 1459083318.73     0     27.74     15.51     10.29
 1459083318.93     0     18.44      6.22     10.23
 1459083319.13     0     18.55      6.30     10.35
 1459083319.33     0     18.46      6.21     10.25
 1459083319.53     0     18.38      6.19     10.20
 1459083319.73     0     18.51      6.26     10.16
 1459083319.93     0     18.41      6.23     10.25
 1459083320.13     0     18.52      6.27     10.30
 1459083320.33     0     18.62      6.38     10.30
 1459083320.53     0     18.41      6.23     10.20
 1459083320.73     0     18.49      6.24     10.30
 1459083320.93     0     18.49      6.30     10.15
 1459083321.13     0     18.80      6.55     10.07
 1459083321.33     0     23.24     10.99     10.32
 1459083321.53     0     26.44     14.26     10.20
 1459083321.73     0     26.56     14.31     10.30
 1459083321.93     0     26.19     14.00     10.20
 1459083322.13     0     25.81     13.56     10.21
 1459083322.33     0     25.77     13.52     10.20
 1459083322.53     0     25.67     13.48     10.20
 1459083322.73     0     20.28      8.03     10.25
 1459083322.93     0     18.41      6.23     10.15
 1459083323.13     0     18.62      6.38     10.30
 1459083323.33     0     18.43      6.19     10.25
 1459083323.53     0     18.38      6.19     10.10
 1459083323.73     0     18.56      6.31     10.31
 1459083323.93     0     18.54      6.30     10.34
 1459083324.13     0     18.42      6.23     10.15
 1459083324.33     0     23.11     10.86     10.18
 1459083324.53     0     18.59      6.41     10.15
 1459083324.73     0     18.44      6.19     10.20
 1459083324.93     0     18.50      6.26     10.11
 1459083325.13     0     18.45      6.26     10.20
 1459083325.33     0     18.52      6.27     10.16
 1459083325.53     0     18.39      6.20     10.20
 1459083325.73     0     18.48      6.24     10.15
 1459083325.93     0     18.44      6.19     10.20
 1459083326.14     0     18.46      6.27     10.20
 1459083326.34     0     18.69      6.44     10.11
 1459083326.54     0     18.38      6.19     10.06
 1459083326.74     0     18.51      6.26     10.20
 1459083326.94     0     18.53      6.29     10.30
 1459083327.14     0     18.46      6.28     10.10
 1459083327.34     0     23.42     11.17     10.26
 1459083327.54     0     26.55     14.30     10.20
 1459083327.74     0     26.41     14.23     10.10
 1459083327.94     0     26.54     14.29     10.01
 1459083328.14     0     25.68     13.50     10.15
 1459083328.34     0     18.52      6.27     10.25
 1459083328.54     0     18.61      6.36     10.35
 1459083328.74     0     18.47      6.28     10.24
 1459083328.94     0     18.44      6.20     10.25
 1459083329.14     0     18.45      6.26     10.25
 1459083329.34     0     18.48      6.24     10.30
 1459083329.54     0     18.45      6.21     10.20
 1459083329.74     0     18.35      6.17     10.24
 1459083329.94     0     18.44      6.20     10.20
 1459083330.14     0     18.50      6.25     10.15
 1459083330.34     0     23.12     10.94     10.07
 1459083330.54     0     25.82     13.57     10.21
 1459083330.74     0     18.59      6.40     10.15
 1459083330.94     0     18.48      6.23     10.30
 1459083331.14     0     18.45      6.26     10.25
 1459083331.34     0     18.69      6.44     10.21
 1459083331.54     0     18.58      6.34     10.35
 1459083331.74     0     18.48      6.29     10.15
 1459083331.94     0     18.64      6.39     10.26
 1459083332.14     0     18.47      6.28     10.20
 1459083332.34     0     18.53      6.28     10.30
 1459083332.54     0     18.58      6.34     10.16
 1459083332.74     0     18.48      6.29     10.20
 1459083332.94     0     18.50      6.26     10.16
 1459083333.14     0     18.63      6.39     10.21
 1459083333.34     0     20.10      7.91     10.22
 1459083333.54     0     18.52      6.27     10.30
 1459083333.74     0     18.50      6.31     10.30
 1459083333.94     0     18.51      6.26     10.20
 1459083334.14     0     18.59      6.34     10.16
 1459083334.34     0     18.42      6.24     10.20
 1459083334.54     0     18.59      6.35     10.21
 1459083334.74     0     18.54      6.35     10.02
 1459083334.94     0     18.51      6.26     10.25
 1459083335.14     0     18.56      6.31     10.25
 1459083335.34     0     18.44      6.25     10.20
 1459083335.54     0     18.55      6.30     10.20
 1459083335.74     0     18.41      6.23     10.20
 1459083335.94     0     18.48      6.23     10.25
 1459083336.14     0     18.53      6.28     10.01
 1459083336.34     0     21.40      9.21     10.23
 1459083336.54     0     18.52      6.27     10.25
 1459083336.74     0     18.40      6.21     10.10
 1459083336.94     0     18.48      6.23     10.15
 1459083337.14     0     18.58      6.34     10.25
 1459083337.34     0     18.43      6.25     10.25
 1459083337.54     0     18.48      6.24     10.20
 1459083337.74     0     18.43      6.25     10.16
 1459083337.94     0     18.48      6.23     10.20
 1459083338.14     0     18.58      6.34     10.35
 1459083338.34     0     18.43      6.24     10.20
 1459083338.54     0     18.52      6.28     10.30
 1459083338.74     0     18.55      6.37     10.25
 1459083338.94     0     18.52      6.27     10.20
 1459083339.14     0     18.56      6.32     10.25
 1459083339.34     0     23.14     10.95     10.26
 1459083339.54     0     25.82     13.58     10.20
 1459083339.74     0     25.84     13.59     10.16
 1459083339.95     0     25.66     13.48     10.24
 1459083340.15     0     25.77     13.52     10.11
 1459083340.35     0     25.66     13.48     10.10
 1459083340.55     0     25.77     13.52     10.06
 1459083340.75     0     25.66     13.47     10.29
 1459083340.95     0     25.79     13.54     10.30
 1459083341.15     0     21.85      9.60     10.35
 1459083341.35     0     18.43      6.24     10.20
 1459083341.55     0     18.50      6.25     10.20
 1459083341.75     0     18.47      6.28     10.39
 1459083341.95     0     18.52      6.27     10.15
 1459083342.15     0     18.52      6.28     10.34
 1459083342.35     0     20.15      7.96     10.21
 1459083342.55     0     18.55      6.30     10.25
 1459083342.75     0     18.55      6.36     10.16
 1459083342.95     0     18.53      6.29     10.25
